X	Y	concept	definition	id
1	8	deception	an act to propagate beliefs that are not true, or not the whole truth (as in half-truths or omission).	trm_4a3fd79d0a02c
2	8	decision	The outcome of a process during which a choice is made, usually between several possible options	trm_4a3fd79d0b61f
3	8	decision certainty	confident knowledge regarding the likelihood of an outcome.	trm_557b47abe9a34
4	8	decision making	The deliberate selection of a single alternative amongst multiple alternatives. 	trm_4a3fd79d0a038
5	8	declarative knowledge	"Knowledge that is descriptive and includes knowing ""that"" rather than knowing ""how"" (can be expressed in declarative sentences)."	trm_4a3fd79d0a044
6	8	declarative memory	Memory for facts, and that can be intentionally articulated in some manner.	trm_4a3fd79d0a04f
7	8	declarative rule	A criterion for which one possesses declarative knowledge. Contrasts with an implicit or non-declarative rule, which one might follow but not represent as a rule or even be aware that they are following.	trm_4a3fd79d0a05b
8	8	deductive inference	A type of inference in which the conclusion always follows from the stated premises.If the premises are true, then the conclusion is valid.	trm_4a3fd79d0a066
9	8	deductive reasoning	"is reasoning which constructs or evaluates deductive arguments. Deductive arguments are attempts to show that a conclusion necessarily follows from a set of premises or hypotheses.
"	trm_4a3fd79d0a072
10	8	deep processing	Evaluating a piece of information in terms of meaning or associations to other concepts as opposed to surface or incidental characteristics.	trm_4a3fd79d0a07e
11	8	deep structure	The essential meaning of a sentence, without regard to the grammatical features (surface structure) of the sentence that are needed to express it in words.	trm_4a3fd79d0a08a
12	8	default mode network	"The Default Mode Network (DMN) can be conceptualized as an organized, spontaneous network of neural activity that is modulated during attention-demanding cognition. It consists of a set of brain regions which:
a. are characterized by temporally correlated, low-frequency, spontaneous BOLD signal fluctuations which tend to inversely correlate with fluctuations in other networks, including those that subserve arousal, attention, perception, and working memory;
b. show consistent suppression of activity during most cognitive tasks but increase in activation during certain tasks, including episodic memory retrieval, introspection, and self-referential processing;
c. vary in degree of activation and connectivity related to individual differences in cognition and behavior, including psychopathology and neurological impairment; and,
d. are one of many Intrinsic Connectivity Networks (ICNs) that can be identified in resting-state fMRI and PET analyses."	trm_5159c18bc2e34
13	8	defensive aggression	A response elicited by a real or perceived threat that leads to a pattern of behaviors directed at terminating the threat.	trm_5159c885a7314
14	8	defiance	bold resistance to an opposing force, power, or authority, expressed through behavior and attitude	trm_523e034f9e69a
15	8	deliberation	the process of judging the merits of multiple options, which may then be followed by choice.	trm_4fa28299dbddd
16	8	delusion	A belief held despite appreciable external evidence to the contrary.	trm_4fa3afaeef512
17	8	depth cue	Depth perception arises from a variety of depth cues. These are typically classified into binocular cues that require input from both eyes and monocular cues that require the input from just one eye.  Binocular cues include stereopsis, yielding depth from binocular vision through exploitation of parallax. Monocular cues include size: distant objects subtend smaller visual angles than near objects.  A third class of cues requires synthetic integration of binocular and monocular cues.	trm_4a3fd79d0a095
18	8	depth perception	Ability to perceive the visual world in three dimensions.	trm_4a3fd79d0a0a1
19	8	desire	to long or hope for, exhibit or feel desire for; to express a wish for.	trm_4a3fd79d0a0ad
20	8	detection	to determine the presence of a stimulus	trm_55ce70b20186b
21	8	difference threshold	the smallest detectable difference between two stimuli	trm_4fe9fae4321e7
22	8	diphthong	a gliding monosyllabic speech sound (as the vowel combination at the end of toy) that starts at or near the articulatory position for one vowel and moves to or toward the position of another.	trm_4a3fd79d0a0dc
23	8	discourse	the capacity of orderly thought or procedure, verbal interchange of ideas; formal and orderly and usually extended expression of thought on a subject, connected speech or writing, linguistic unit larger than a sentence.	trm_4a3fd79d0b6c5
24	8	discourse comprehension	Discourse comprehension is the act of interpreting a written or spoken message by integrating the incoming information into the memory or knowledge structures of the interpreter.	trm_4a3fd79d0b6d1
25	8	discourse knowledge	"knowledge regarding discourse
"	trm_4a3fd79d0b6dd
26	8	discourse planning	"the formulation of structures, patterns, mental representations, and processes that constitute the written and spoken unit of connected speech or writing longer than a sentence.
"	trm_4a3fd79d0b6e9
27	8	discourse processing	"is the cognitive process that investigates the structures, patterns, mental representations, and processes that underlie the written and spoken unit of connected speech or writing longer than a sentence.

"	trm_4a3fd79d0b6f5
28	8	discourse production	"the formation of a spoken unit of connected speech or writing longer than a sentence.
"	trm_4a3fd79d0b701
29	8	discrimination	It is the ability to perceive and respond to differences among stimuli.	trm_5519b7525d7a2
30	8	dispositions	Tendency to act in a particular manner given a certain set of antecedents. 	trm_4a3fd79d0a0e7
1	9	distraction	Any event that interrupts a mental process.	trm_4a3fd79d0a0f3
2	9	distributed coding	A type of coding in which the information that constitutes a concept (or mental representation) is spread amongst a number of constituent representations.	trm_4a3fd79d0a0ff
3	9	divergent thinking	a thought process or method used to generate creative ideas by exploring many possible solutions.	trm_4a3fd79d0a10a
4	9	divided attention	A state in which the focus of attention is spread across more than one object or event.	trm_4a3fd79d0a116
5	9	domain specificity	the idea in cognitive science that the mind is divided according to the content of information being processed into specialized, possibly evolved, modules	trm_5021684cba96c
6	9	dream	a succession of thoughts, images, sounds or emotions which the mind experiences during sleep.	trm_4a3fd79d0a12d
7	9	Dyslexia	Dyslexia is a reading impairment. There are currently 17 known types of dyslexia, each resulting from a different component of the reading process, each with different error types and different characteristics. Dyslexia can result from brain damage after reading has been acquired (acquired dyslexia), or can be present from birth (developmental dyslexia).	trm_55e1b08e5b06c
8	9	eating	An individual&#39;s preferences for food or general appetite.	trm_525d8b8908809
9	9	echoic memory	refers to the phenomenon in which there is a brief mental echo that continues to sound after an auditory stimulus has been heard.	trm_4b185801de7a1
10	9	echolocation	the general method of locating objects by determining the time for an echo to return and the direction from which it returns, used by some animals	trm_4a3fd79d0b996
11	9	economic value processing	the process of comparing, at an idiosyncratic level, the economic value of two or more options.	trm_557b4817db34d
12	9	edge detection	a fundamental tool in image processing and computer vision, particularly in the areas of feature detection and feature extraction, which aim at identifying points in a digital image at which the image brightness changes sharply or more formally has discontinuities.	trm_4a3fd79d0b9a1
13	9	efficiency	effective operation as measured by a comparison of production with cost (as in energy, time, money, or cortical activity)	trm_4a3fd79d0a145
14	9	effort	Consciously or intentionally engaging resources in order to achieve a particular end.	trm_4a3fd79d0a151
15	9	effort valuation	Processes by which the cost(s) of obtaining an outcome is computed; tendency to overcome response costs to obtain a reinforcer.	trm_5159c971bf444
16	9	effortful processing	learning or storing (encoding) that requires attention and effort.	trm_4a3fd79d0a15c
17	9	egocentric	A frame of reference centered around the self. In perception, a first-person frame of reference.	trm_4a3fd79d0a168
18	9	elaborative processing	Processing in which semantic associations or relations between words/concepts are generated or elaborated on.	trm_4a3fd79d0a173
19	9	elaborative rehearsal	a type of rehearsal proposed by Craik and Lockhart (1972) in their Levels of Processing model of memory. Elaborative rehearsal involves deep semantic processing of a to-be-remembered item resulting in the production of durable memories.	trm_4a3fd79d0b8d9
20	9	embodied cognition	a theory emphasizing the essentiality of the body&#39;s interaction with the environment to cognition	trm_4f33e65d0daac
21	9	emotion	a complex of psychological phenomena that involve some degree of arousal and valence (positive/negative)	trm_4a3fd79d0a17f
22	9	emotion perception	The process involving understanding feelings with different valences of oneself or of others	trm_4a3fd79d0b65a
23	9	emotion recognition	The process of assigning an emotion to one of the discrete categories of emotion available in a particular culture.	trm_4a3fd79d0b665
24	9	emotion regulation	The ability to have control over and change emotional responses, such as feelings and behaviors associated with them. 	trm_51a690a7492eb
25	9	emotional bonding	"A process of bringing people together based on mutually shared emotions.
"	trm_4a3fd79d0b671
26	9	emotional decision making	The use of affective information as information in a decision making process or as a basis for making a decision. Hot cognition.	trm_4a3fd79d0a18b
27	9	emotional expression	observable verbal and nonverbal behavior that communicates emotion with or without self-awareness.	trm_4a3fd79d0a196
28	9	emotional face recognition	The process of determining whether an emotional face is the same as another face that has been previously encountered.	trm_557b482a7c62b
29	9	emotional intelligence	the capacity, skill or ability to identify, assess, and manage the emotions of one&#39;s self, of others, and of groups.	trm_4a3fd79d0a1a2
30	9	emotional memory	Emotional memory is the storage and recall of events and details that are couple with the physiological response that was present when the event occurred.  	trm_4a3fd79d0a1ae
1	10	emotional mimicry	is the ability of a person to imitate, copy, and experience the physical and emotional characteristics of another persons emotion.  	trm_4a3fd79d0a1b9
2	10	emotional reappraisal	ADD DEFINITION HERE	trm_557b4844ca14d
3	10	emotional self-evaluation	ADD DEFINITION HERE	trm_557b4855a12b4
4	10	emotional suppression	A process to reduce or inhibit the impact of an emotion on ones current conscious state or behavior.	trm_4a3fd79d0a1d1
5	10	empathy	The act of understanding, being aware of, being sensitive to, and or experiencing the feelings, thoughts, and experience of another. 	trm_4a3fd79d0b67d
6	10	encoding	The process of creating a new memory trace.	trm_4a3fd79d0b8e5
7	10	episodic buffer	A theoretical construct that is part of Alan Baddeley&#39;s working memory model and the object of which is to integrate information across sensory domains and communicate with long term memory in the service of working memory. 	trm_4a3fd79d0b8f0
8	10	episodic learning	a change in behavior that occurs as a result of an event; episodic learning is so named because events are recorded into episodic memory.	trm_4a3fd79d0a1e8
9	10	episodic memory	memory of autobiographical events (times, places, associated emotions, and other contextual knowledge) that can be explicitly stated.	trm_4a3fd79d0a1f4
10	10	error detection	Processes that identify when mistakes have been made.	trm_4a3fd79d0a20c
11	10	error signal	An event following error detection, in which a sign is relayed notifying the advent of an error.	trm_4a3fd79d0a218
12	10	error trapping	procedures that detect and correct errors before the errors cause further confusion.	trm_4a3fd79d0a223
13	10	excitation	a state of increased emotional arousal	trm_4a3fd79d0a22f
14	10	executive control	A top-down system that manages and controls other cognitive processes, allowing goal-directed behavior.	trm_4a3fd79d0a246
15	10	executive function	A &#39;top-down&#39; function that manages and controls cognitive processes, allowing goal-directed behavior.	trm_4a3fd79d0a252
16	10	exogenous attention	ADD DEFINITION HERE	trm_56006cb5a61ac
17	10	expectancy	A belief about something in the future. Sometimes requires explicit, conscious awareness, distinct from unconscious, conditioning-based learning.	trm_4ebfe9a465449
18	10	expertise	Having a highly cultivated level of skill in a particular domain. Occurs after prolonged experience in a domain.	trm_4a3fd79d0a25e
19	10	explicit knowledge	Knowledge that can be articulated or expressed intentionally.	trm_4a3fd79d0a269
20	10	explicit learning	Acquisition of skills and/or knowledge actively and with awareness. Typically such learning is accompanied by meta-awareness - individuals can explain how they acquired the skill/knowledge.	trm_4a3fd79d0a275
21	10	explicit memory	the conscious, intentional recollection of previous experiences and information.	trm_4a3fd79d0a281
22	10	externalizing	attributing cause to factors outside of the self	trm_523ca883711cc
23	10	extinction	the phenomenon by which a response to a conditional stimulus presented in absence of the unconditional stimulus diminishes over time; rather than a forgetting, it is generally believed to be a new learning.	trm_4fe8edc62f613
24	10	extrinsic motivation	motivated by external factors, as opposed to the internal drivers of intrinsic motivation. Extrinsic motivation drives one to do things for tangible rewards or pressures.	trm_4a3fd79d0a28c
25	10	face maintenance	WRITE DEFINITION HERE	trm_55c6f87595b39
26	10	face perception	The processes by which faces are identified as such.	trm_4a3fd79d0a300
27	10	face recognition	The process of determining whether a face is the same as another face that has been previously encountered.	trm_4a3fd79d0a30c
28	10	facial age recognition	The process of assigning an age  to a stimulus based on evaluation of a face.	trm_5595bd6c61d78
29	10	facial attractiveness recognition	The process of evaluating the physical aesthetic of a face.	trm_5595bd89d77c6
30	10	facial expression	Movements and positions of the facial muscles that can be used as a form of nonverbal communication, particularly in conveying emotional states.	trm_4a3fd79d0a318
1	11	facial happiness recognition	The process of assigning the emotion of happiness  to a stimulus.	trm_5595bd2b92003
2	11	facial recognition	identifying the existence of a face	trm_5595bde6b2e95
3	11	facial trustworthiness recognition	The process of evaluating the degree of trust based on the features or holistic representation of a face.	trm_5595bda0c5dc3
4	11	false memory	a memory that refers to an event that did not actually occur	trm_4a3fd79d0a323
5	11	familiarity	A quality of memory that is associated with a feeling of knowing that an event has previously occurred, but often not including enough contextual or episodic details sufficient for claiming actual remembering of the event.	trm_4a3fd79d0b8fc
6	11	fatigue	a feeling of weariness, tiredness, or lack of energy	trm_52583e52d5e7a
7	11	fear	A state of high negative emotional arousal triggered by an impending threat (real or imaginary) and generally associated with the flight or fight response. Fear is the activation of the brain’s defensive motivational system to promote behaviors that protect the organism from perceived danger. Normal fear involves a pattern of adaptive responses to conditioned or unconditioned threat stimuli (exteroceptive or interoceptive). Fear can involve internal representations and cognitive processing, and can be modulated by a variety of factors.	trm_4a3fd79d0b689
8	11	feature comparison	Comparison of two stimuli based on a shared feature.	trm_557b4891e9265
9	11	feature detection	a process of recognizing specific aspects of a stimulus, such as lines, edges, angle, or movement. 	trm_4a3fd79d0b9ad
10	11	feature extraction	Processes by which relevant aspects of a data stream are separated from irrelevant aspects.	trm_4a3fd79d0a32f
11	11	feature integration	how different features of a percept are bound into a conscious whole	trm_502954662d63e
12	11	feature search	search for a target according to a single feature (e.g. color)	trm_4fea18ec76bc9
13	11	feature-based attention	direct limited processing resources on those sensory inputs that are most relevant for the task at hand	trm_5524572b66764
14	11	feedback	Evaluative or corrective information about an action, event, or process delivered to the original or controlling source, often with the intent of modifying future actions.	trm_4a3fd79d0a33b
15	11	figure ground reversal	"Occurs in certain visual illusions (e.g., Vases and Faces or ""Rubin&#39;s Vase"") in which there are multiple valid figure-ground segmentations that can be selected depending on an observer&#39;s interpretation."	trm_4a3fd79d0b9d1
16	11	figure ground segregation	Discriminating objects from their surroundings by the visual system.	trm_4a3fd79d0b9dd
17	11	filtering	a device or process that removes from a signal some unwanted component or feature.	trm_4a3fd79d0a352
18	11	fixation	Maintaining gaze or attention on some object or event. (Experimental design) A trial period in which a participant is instructed to direct attention toward a visual stimulus (often a cross).	trm_4a3fd79d0a35e
19	11	fixed action patterns	an instinctive  behavioral  sequence that is indivisible and runs to completion.	trm_4a3fd79d0a36a
20	11	Flexible Updating		trm_551f0d8c69a13
21	11	fluid intelligence	"a factor of general intelligence originally identified by Raymond Cattell; Cattell defined fluid intelligence as ""…the ability to perceive relationships independent of previous specific practice or instruction concerning those relationships."" Fluid intelligence is the ability to think and reason abstractly and solve problems. This ability is considered independent of learning, experience, and education."	trm_4a3fd79d0a375
22	11	focus	The center of attention or concentration. 	trm_4a3fd79d0a381
23	11	focused attention	the ability to respond discretely to specific visual, auditory or tactile stimuli.	trm_4a3fd79d0a38d
24	11	forgetting	The loss of or inability to retrieve a memory.	trm_4a3fd79d0b908
25	11	form perception	the sensory discrimination of a pattern, shape or outline.	trm_4a3fd79d0a398
26	11	framing	"Framing is a method of biasing opinions- a framing effect occurs when the description of information, such as a speaker presenting an issue, has an emphasis on a subset of potentially 
relevant considerations and causes individuals to focus on these considerations when constructing their opinions."	trm_4a3fd79d0b636
27	11	frustration	a deep chronic sense or state of insecurity and dissatisfaction arising from unresolved problems or unfulfilled needs.	trm_4a3fd79d0b695
28	11	functional fixedness	a cognitive bias that limits a person to using an object only in the way it is traditionally used.	trm_4a3fd79d0a3a4
29	11	gaze	The act of fixating the eyes onto a location.  	trm_4a3fd79d0a3d2
30	11	generalization	The act of transferring knowledge learned from one event to a novel event that is similar in some respect.	trm_4a3fd79d0a3ea
1	12	generic knowledge	Generic knowledge is knowledge that is applicable not just to a single entity but to a class of entities. 	trm_4a3fd79d0a3f6
2	12	gestalt	a collection of physical, biological, psychological or symbolic entities that creates a unified concept, configuration or pattern which is greater than the sum of its parts (of a character, personality, or being).	trm_4a3fd79d0a402
3	12	Gestalt grouping	the ways in which elements are perceived to be grouped together, most often described for auditory and visual perception, but may also be a factor for other modalities	trm_4fb3f4d58aeb0
4	12	global precedence	the idea that, all else held equal, global features are perceived earlier than are local features of a given stimulus	trm_5021873f37abc
5	12	goal	The desired end-point of behavior(s).	trm_4a3fd79d0a419
6	12	goal formation	The processes that create and maintain representations of goal states.	trm_4a3fd79d0a425
7	12	goal maintenance	The maintenance of information regarding task goals in working memory.	trm_4a3fd79d0a431
8	12	goal management	consists of the process of recognizing or inferring goals, abandoning no longer relevant goals, identifying and resolving conflicts among goals, and prioritizing goals consistently for optimal success.	trm_4a3fd79d0a43c
9	12	goal selection		trm_5519b5f181edd
10	12	goal state	A point reached when goal directed behavior has successfully concluded. 	trm_4a3fd79d0a448
11	12	grammatical encoding	"the selection of semantically appropriate lexical items and the generation of a syntactic frame or surface form.

"	trm_4a3fd79d0b756
12	12	grapheme	a unit (as a letter or digraph) of a writing system; the set of units of a writing system (as letters and letter combinations) that represent a phoneme.	trm_4a3fd79d0b76e
13	12	graphemic buffer	a component dedicated to the temporary storage of abstract orthographic representations prior to their format-specific expression in spelling and/or reading.	trm_4a3fd79d0b779
14	12	grief	deep and poignant distress caused by or as if by bereavement.	trm_4a3fd79d0b6a1
15	12	guilt	a cognitive or an emotional experience that occurs when a person realizes or believes (whether it is true or not) that he or she has compromised his or her own standards of conduct or has violated a moral standard, and bears significant responsibility for that violation.	trm_52583d9f2ad98
16	12	gustation	Form of chemoreception that facilitates taste perception.	trm_4a3fd79d0b9e9
17	12	gustatory learning	The formation of a knowledge representation that contains information about gustatory percepts.	trm_4a3fd79d0a460
18	12	gustatory memory	the cognitive capacity of storing and retrieving information related to taste.  	trm_4a3fd79d0a46b
19	12	gustatory perception	The processes involved with representing gustatory sensations as such.	trm_4a3fd79d0a477
20	12	habit	An acquired pattern of behavior that often occurs automatically and is reliably triggered by some event or stimulus.	trm_4a3fd79d0a483
21	12	habit learning	The process of acquiring a habit	trm_4a3fd79d0a48e
22	12	habit memory	the memory representation of a learned habit, generally thought to be represented as a stimulus-response association	trm_4a3fd79d0a49a
23	12	hallucination	"in the broadest sense of the word, is a perception in the absence of a stimulus. In a stricter sense, hallucinations are defined as perceptions in a conscious and awake state in the absence of external stimuli which have qualities of real perception, in that they are vivid, substantial, and located in external objective space.

"	trm_4a3fd79d0a4a6
24	12	happiness	a state of mind or feeling characterized by contentment, love, satisfaction, pleasure, or joy.	trm_4a3fd79d0b6ad
25	12	hedonism	a school which argues that pleasure is the only intrinsic good, often used as a justification for evaluating actions in terms of how much pleasure and how little pain (i.e. suffering) they produce.	trm_4a3fd79d0a4b2
26	12	heuristic search	"refers to experience-based techniques for problem solving, learning, and discovery. Heuristic methods are used to speed up the process of finding a good enough solution, where an exhaustive search is impractical. Examples of this method include using a ""rule of thumb"", an educated guess, an intuitive judgment, or common sense.  In more precise terms, heuristics are strategies using readily accessible, though loosely applicable, information to control problem solving in human beings and machines"	trm_4a3fd79d0a4be
27	12	high energy density food recognition	When a (familiar) food is encountered, an estimation of energy content and expected satiation is made based on an individual&#39;s earlier experiences and nutritional knowledge. 	trm_55c298bbe56d5
28	12	hill climbing	A fast but sometimes unreliable optimization method.  When searching for the minimum/maximum value of a function a random step is taken; if the value improves it replaces the current value, then another random step is taken.	trm_4a3fd79d0a4c9
29	12	humiliation	to reduce to a lower position in one&#39;s own eyes or others&#39; eyes.	trm_4a3fd79d0a4e1
30	12	humor	the tendency of particular cognitive experiences to provoke laughter  and provide amusement.	trm_4a3fd79d0a4ed
1	13	hyperactivity	a condition characterized by excessive restlessness and movement, and commonly non-compliance	trm_523c7c13bc55f
2	13	iconic memory	very brief sensory memory of some visual stimuli, that occur in the form of mental pictures.	trm_4a3fd79d0a4f9
3	13	illocutionary force	a speaker&#39;s intention in delivering an utterance.	trm_4a3fd79d0b7b5
4	13	imageability	is a property of a word or concept reflecting how easy or difficult it is to visually or acoustically imagine.  	trm_4a3fd79d0a504
5	13	imagery	an experience that, on most occasions, significantly resembles the experience of perceiving some object, event, or scene, but occurs when the relevant object, event, or scene is not actually present to the senses.	trm_4a3fd79d0a510
6	13	imagination	forming mental images or concepts of what is not actually present to the senses 	trm_4f4511e519b53
7	13	implicit knowledge	knowledge that is kept in a person’s mind without necessarily being expressed in words and is often acted on instinctively.	trm_4a3fd79d0a51c
8	13	implicit memory	Type of memory in which experiences increases performance of task without one&#39;s conscious awareness of these previous experiences. This type of memory applies to habit learning, skills, conditioning.	trm_4a3fd79d0a533
9	13	imprinting	a rapid learning process that takes place early in the life of a social animal and establishes a behavior pattern (as recognition of and attraction to its own kind or a substitute).	trm_4a3fd79d0a53f
10	13	impulsivity	the tendency to act without adequately assessing context	trm_50070dce14554
11	13	Inappropriate speech	dialogue, either to oneself or others, that is not appropriate or suitable to the current situation	trm_523c7c886b614
12	13	inattention	The failure to process an external stimulus (often refers to sensory stimuli).	trm_4a3fd79d0a54b
13	13	inattentional blindness	a phenomenon in which people fail to see an unexpected stimulus	trm_4fe3861edc919
14	13	incidental learning	Learning without explicit knowledge of doing so, but occurring through interaction with the environment (e.g., by observation/copying of behavior or response to reinforcement).	trm_4a3fd79d0a556
15	13	incubation	the process of thinking about a problem subconsciously while being involved in other activities	trm_4a3fd79d0a562
16	13	indignation	anger aroused by something unjust, unworthy, or mean.	trm_4a3fd79d0a56e
17	13	induction	reaching a conclusion from a set of premises that could, but do not necessarily, lead to it	trm_4a3fd79d0a579
18	13	inductive reasoning	"reasoning from a specific case or cases and deriving a general rule, drawing inferences from observations in order to make generalizations.
"	trm_4a3fd79d0a590
19	13	inference	the act of passing from one proposition, statement, or judgment considered as true to another whose truth is believed to follow from that of the former; the act of passing from statistical sample data to generalizations (as of the value of population parameters) usually with calculated degrees of certainty.	trm_4a3fd79d0a5ed
20	13	inhibition	The process by which a response or thought is suppressed.	trm_4a3fd79d0a613
21	13	inhibition of return	the phenomenon in which the speed and accuracy with which an object is detected are first briefly enhanced (for perhaps 100-300 milliseconds) after the object is attended, and then detection speed and accuracy are impaired (for perhaps 500-3000 milliseconds).	trm_4a3fd79d0a61f
22	13	insight	In problem solving, the moment at which an underlying relation between cause and effect is discovered/identified.	trm_4a3fd79d0a62b
23	13	instinct	a natural or inherent aptitude, impulse, or capacity; a largely inheritable and unalterable tendency of an organism to make a complex and specific response to environmental stimuli without involving reason, behavior that is mediated by reactions below the conscious level.	trm_4a3fd79d0a637
24	13	instrumental conditioning	a learning process in which the consequences of an action are used to modify aspects of that action thereafter; these aspects include form and frequency (including the likelihood of reoccurrence at all).	trm_4a3fd79d0a642
25	13	instrumental learning	learning based on reward; a form of learning that takes place as a direct consequence of a reward or pleasant outcome for the learner.	trm_4a3fd79d0a64e
26	13	integration	coordination of mental processes into a normal effective personality or with the individual&#39;s environment	trm_4a3fd79d0a65a
27	13	intelligence	the ability to learn or understand or to deal with new or trying situations; the skilled use of reason; the ability to apply knowledge to manipulate one&#39;s environment or to think abstractly as measured by objective criteria	trm_4a3fd79d0a666
28	13	intention	an act or instance of determining mentally upon some action or result; meaning or significance.	trm_4a3fd79d0a67d
29	13	intentional forgetting	the purposeful forgetting of information that is no longer needed.	trm_4a3fd79d0a689
30	13	intentional learning	learning that is motivated  with intention and is usually goal directed.	trm_4a3fd79d0a695
1	14	intentionality	the state of having or being formed by an intention; (philosophy) the property of being about or directed toward a subject, as inherent in conscious states, beliefs, or creations of the mind, such as sentences or books. 	trm_4a3fd79d0a6a1
2	14	interference	the disturbing effect of new information on the other information with which it is inconsistent	trm_4a3fd79d0a6ad
3	14	Interference Control		trm_551f11bb8f6a8
4	14	interference resolution	The process of selecting information with regard to its relevance to an ongoing task and suppressing the processing of irrelevant information.	trm_4c3e04d656f06
5	14	intermediate term memory	a specialized term referring for information about a current task.	trm_4a3fd79d0a6b9
6	14	internal speech	"also known as inner voice, internal speech, or verbal stream of consciousness is thinking in words. It also refers to the semi-constant internal monologue one has with oneself at a conscious or semi-conscious level.

"	trm_4a3fd79d0a6c5
7	14	internalizing	focusing negative energy on the self, often through holding back emotion, often leading to less than ideal emotional states (worry, anxiety, negativity and depression).  These states are frequently present in autistic children.	trm_523ca7e778c50
8	14	interoception	perception of stimuli inside the body, e.g. hunger, thirst, pain	trm_4fe39e4388409
9	14	interoceptive representation	A representation of the internal state of the body	trm_4e5506161998c
10	14	interrogative	of, pertaining to, or conveying a question.	trm_4a3fd79d0a6d0
11	14	intertemporal choice	"the study of how people make choices about what and how much to do at various points in time, when choices at one time influence the possibilities available at other points in time.

https://en.wikipedia.org/?title=Intertemporal_choice"	trm_558c73324a6ca
12	14	intonation	the ability to play or sing notes in tune; manner of utterance, specifically the rise and fall in pitch of the voice in speech.	trm_4a3fd79d0a6dc
13	14	intrinsic motivation	a highly desired form of incentive that stems from a person&#39;s internal desire for self-satisfaction or pleasure in performing the task itself.	trm_4a3fd79d0a6e8
14	14	introspection	the self-observation and reporting of conscious inner thoughts, desires  and sensations. It is a conscious mental and usually purposive process relying on thinking, reasoning, and examining one&#39;s own thoughts, feelings.	trm_4a3fd79d0a6f4
15	14	involuntary attention	results when the conscious mind changes focus to sudden changes in the environment (big sound, intensity of light, unique situation etc.).  The person is not prepared for the attention and the attention is not under control of the individual.  The persons attention is less concerned with motives, interests, and needs and the stimulus is usually more important than any functional factors.	trm_4a3fd79d0a700
16	14	irony	a situation, literary technique, or rhetorical device, in which there is an incongruity or discordance that goes strikingly beyond the most simple and evident meaning of words or actions.	trm_4a3fd79d0a70b
17	14	irritability	The quality or state of being agitated, testy, grumpy, moody, or having a short temper.	trm_523c7afe39f78
18	14	joint attention	the process of alerting one person to a stimulus through nonverbal cues such as finger pointing or gazing. It is one of the first signs of the development of a theory of mind in babies and serves as an important step to later language and social development.	trm_4b75ed06c917d
19	14	judgment	the process of forming an opinion or evaluation by discerning and comparing, or an opinion or estimate so formed	trm_4a3fd79d0a723
20	14	kinaesthetic representation	"is a representation of sensory inputs from muscles, tendons, and joints (e.g.,the joint angles used to reach a point in space).

"	trm_4a3fd79d0a72e
21	14	kindness priming	is a specific form of priming that occurs when a subject experiences an act of kindness and subsequently experiences a lower threshold of activation when subsequently encountering positive stimuli.	trm_5521a6bc4db33
22	14	kinesthesia	a sense mediated by receptors located in muscles, tendons, and joints and stimulated by bodily movements and tensions. 	trm_4a3fd79d0a73a
23	14	knowledge	information acquired and represented by a person through experience or education	trm_4a3fd79d0a746
24	14	language	The mental ability to encode and decode information, and translate this information into verbal, acoustic and visual representations, according to a set of rules that are common across a population.	trm_4a3fd79d0a769
25	14	language acquisition	the process by which humans acquire the capacity to perceive, produce and use words to understand and communicate.	trm_4a3fd79d0b7f4
26	14	language comprehension	The ability to understand communication from others, such as speech, written text, gestures, or sign language.	trm_4a3fd79d0a775
27	14	language learning	the process by which humans acquire the capacity to perceive, produce and use words to understand and communicate, this capacity involves the picking up of diverse capacities including syntax, phonetics, and an extensive vocabulary, the language might be vocal as with speech or manual as in sign.	trm_4a3fd79d0a781
28	14	language processing	the way human beings process speech or writing and understand it as language.	trm_4a3fd79d0b802
29	14	language production	is translating a concept or set of ideas into spoken, signed or written form	trm_4a3fd79d0a78d
30	14	lateral masking	perceptual phenomenon in which one stimulus attenuates signals generated by another, adjacent, stimulus presented simultaneously	trm_502bdc6bdaa2b
1	15	learning	The process of acquiring new skills/knowledge/information 	trm_4a3fd79d0a7bb
2	15	left finger response execution	Performance of an action using the left finger in accordance with task demands.	trm_55b6b92c1fd76
3	15	left hand response execution	Performance of an action with the left hand in accordance with task demands.	trm_558c7b707f606
4	15	left toe response execution	Performance of an action using the left toe in accordance with task demands.	trm_55b6b96e77df6
5	15	lemma	an abstract form of a word before any phonological assignment, arising early in speech production	trm_4a3fd79d0a7c7
6	15	lethargy	a lack of energy or enthusiasm.  In a social context, this means being socially withdrawn.	trm_523c7ba79c2f1
7	15	lexeme	the phonological form of a given lexical item being retrieved	trm_502c343d20523
8	15	lexical access	the process by which contact is made with the lexicon on the basis of an initial acoustic-phonetic or phonological representation of some portion of the speech input, the result of lexical success is a cohort of potential word candidates which are compatible with this initial analysis.	trm_4a3fd79d0b80f
9	15	lexical ambiguity	the presence of two or more possible meanings within a single word.	trm_4a3fd79d0b81b
10	15	lexical encoding	"converting vocabulary, words, or morphemes of a language into a code.
"	trm_4a3fd79d0a7d4
11	15	lexical processing	A general term referring to the processing of single words, typically in the context of visual or auditory word recognition.	trm_4a3fd79d0b826
12	15	lexical retrieval	retrieval of a lexical entry	trm_4a3fd79d0a7e0
13	15	lexicon	The vocabulary of a language, including its words and expressions.	trm_4a3fd79d0a7ec
